Date,Close,MA_20,MA_50
2023-11-29,237.5,217.1625,201.66
2023-11-30,243.75,219.975,202.785
2023-12-01,234.0,221.5625,204.015
2023-12-04,252.5,224.7125,205.465
2023-12-05,244.75,227.1,206.86
2023-12-06,237.5,228.7875,208.185
2023-12-07,235.0,230.375,208.94
2023-12-08,225.0,231.2125,209.79
2023-12-11,212.5,231.375,210.565
2023-12-12,200.0,231.6875,211.115
2023-12-13,207.5,231.8125,211.745
2023-12-14,192.5,229.5625,211.495
2023-12-15,215.0,227.4375,211.045
2023-12-18,203.75,226.75,209.97
2023-12-19,195.25,225.325,209.86
2023-12-20,195.25,223.9625,209.465
2023-12-21,201.25,222.15,209.49
2023-12-22,197.75,220.1625,209.645
2023-12-26,204.0,218.3625,209.855
2023-12-27,198.0,216.6375,210.015
2023-12-28,200.0,214.7625,210.215
2023-12-29,195.25,212.3375,210.345
2024-01-02,198.5,210.5625,210.665
2024-01-03,190.0,207.4375,210.855
2024-01-04,197.5,205.075,211.155
2024-01-05,200.0,203.2,211.555
2024-01-08,202.5,201.575,211.715
2024-01-09,185.0,199.575,211.52
2024-01-10,182.5,198.075,211.42
2024-01-11,195.0,197.825,211.595
2024-01-12,191.25,197.0125,211.52
2024-01-16,182.5,196.5125,211.42
2024-01-17,167.5,194.1375,210.725
2024-01-18,170.0,192.45,210.335
2024-01-19,175.0,191.4375,209.895
2024-01-22,170.0,190.175,209.22
2024-01-23,170.0,188.6125,208.555
2024-01-24,160.0,186.725,207.59
2024-01-25,150.0,184.025,206.405
2024-01-26,117.5,180.0,204.88
2024-01-29,100.5,175.025,202.79
2024-01-30,106.0,170.5625,200.16
2024-01-31,100.25,165.65,197.015
2024-02-01,146.25,163.4625,195.59
2024-02-02,146.0,160.8875,194.035
2024-02-05,142.75,158.025,192.44
2024-02-06,142.5,155.025,190.54
2024-02-07,119.5,151.75,188.18
2024-02-08,133.75,149.3125,186.055
2024-02-09,131.25,146.125,184.03
2024-02-12,131.25,143.125,181.905
2024-02-13,132.0,140.6,179.67
2024-02-14,140.0,139.225,177.79
2024-02-15,145.0,137.975,175.64
2024-02-16,169.0,137.675,174.125
2024-02-20,137.5,136.05,172.125
2024-02-21,133.75,134.2375,170.1
2024-02-22,152.0,133.8375,168.64
2024-02-23,133.0,132.9875,167.05
2024-02-26,151.0,134.6625,166.07
2024-02-27,138.75,136.575,164.695
2024-02-28,136.75,138.1125,163.58
2024-02-29,128.75,139.5375,161.855
2024-03-01,130.0,138.725,160.38
2024-03-04,127.5,137.8,159.025
2024-03-05,126.75,137.0,157.655
2024-03-06,129.5,136.35,156.22
2024-03-07,125.0,136.625,154.765
2024-03-08,122.5,136.0625,153.135
2024-03-11,130.0,136.0,151.775
2024-03-12,122.75,135.575,150.23
2024-03-13,122.5,135.1,148.775
2024-03-14,125.0,134.35,147.305
2024-03-15,128.75,133.5375,146.08
2024-03-18,125.0,131.3375,144.63
2024-03-19,125.0,130.7125,143.13
2024-03-20,125.0,130.275,141.58
2024-03-21,128.0,129.075,140.44
2024-03-22,122.5,128.55,139.24
2024-03-25,125.0,127.25,137.84
2024-03-26,120.25,126.325,136.42
2024-03-27,125.25,125.75,135.275
2024-03-28,124.0,125.5125,134.405
2024-04-01,125.0,125.2625,133.505
2024-04-02,122.5,125.0125,132.455
